rank,tier,combination,kind,fork,child,owner,combo_base,models_rerun,models_inherited,reach_rows,built,prior_abs_delta_crps,est_seconds_dev,est_seconds_holdout,projected_bytes,cost_basis,assigned_batch,status
15,1,covariates_rich,candidate,analysis/03_models/03_candidate/a_hierNB/02_covariates,b_rich,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.8211777870619947,89.8,51.6,,ensemble=measured under main; hier_nb member delta +16.9s vs family_hierNB,14,planned
16,1,observation_negBinomial,candidate,analysis/03_models/03_candidate/a_hierNB/01_observation,a_negBinomial,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.6007932857142819,80.9,47.1,,ensemble=measured under main; hier_nb member delta +8.0s vs family_hierNB,14,planned
17,1,observation_zeroInflated,candidate,analysis/03_models/03_candidate/a_hierNB/01_observation,b_zeroInflated,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.4315179784366556,82.9,48.1,,ensemble=measured under main; hier_nb member delta +10.0s vs family_hierNB,14,planned
18,1,features_richCalendar,candidate,analysis/03_models/03_candidate/b_boosted/01_features,b_richCalendar,b_boosted,main,ensemble,persistence;climatology;reference,1,True,0.39632516172506627,81.9,47.6,,ensemble=measured under main; boosted member delta +9.0s vs family_boosted,14,planned
19,1,autoregressive_lag3,candidate,analysis/03_models/03_candidate/a_hierNB/05_autoregressive,b_lag3,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.3530604878706214,84.2,48.8,,ensemble=measured under main; hier_nb member delta +11.3s vs family_hierNB,14,planned
20,1,head_quantileEnsemble,candidate,analysis/03_models/03_candidate/b_boosted/02_head,b_quantileEnsemble,b_boosted,main,ensemble,persistence;climatology;reference,1,True,0.18885369541779085,84.0,48.7,,ensemble=measured under main; boosted member delta +11.1s vs family_boosted,14,planned
21,1,population_covariate,candidate,analysis/03_models/03_candidate/a_hierNB/03_population,b_covariate,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.17796234501347286,83.7,48.5,,ensemble=measured under main; hier_nb member delta +10.8s vs family_hierNB,14,planned
22,1,covariates_lagged,candidate,analysis/03_models/03_candidate/a_hierNB/02_covariates,a_lagged,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.11176352291105474,84.8,49.1,,ensemble=measured under main; hier_nb member delta +11.9s vs family_hierNB,14,planned
23,1,yearVariance_shared,candidate,analysis/03_models/03_candidate/a_hierNB/06_yearVariance,a_shared,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.05096901617250538,76.3,44.8,,ensemble=measured under main; hier_nb member delta +3.4s vs family_hierNB,14,planned
24,1,population_ignored,candidate,analysis/03_models/03_candidate/a_hierNB/03_population,c_ignored,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.02490650404311978,83.1,48.2,,ensemble=measured under main; hier_nb member delta +10.2s vs family_hierNB,14,planned
25,2,,pair,-,-,-,main,,,,False,,,,,unresolved until tier 1 has conclusions,15,"pending-selection (slot 1 of 8, by tier2_rule.md)"
26,2,,pair,-,-,-,main,,,,False,,,,,unresolved until tier 1 has conclusions,15,"pending-selection (slot 2 of 8, by tier2_rule.md)"
27,2,,pair,-,-,-,main,,,,False,,,,,unresolved until tier 1 has conclusions,15,"pending-selection (slot 3 of 8, by tier2_rule.md)"
28,2,,pair,-,-,-,main,,,,False,,,,,unresolved until tier 1 has conclusions,15,"pending-selection (slot 4 of 8, by tier2_rule.md)"
29,2,,pair,-,-,-,main,,,,False,,,,,unresolved until tier 1 has conclusions,15,"pending-selection (slot 5 of 8, by tier2_rule.md)"
30,2,,pair,-,-,-,main,,,,False,,,,,unresolved until tier 1 has conclusions,15,"pending-selection (slot 6 of 8, by tier2_rule.md)"
31,2,,pair,-,-,-,main,,,,False,,,,,unresolved until tier 1 has conclusions,15,"pending-selection (slot 7 of 8, by tier2_rule.md)"
32,2,,pair,-,-,-,main,,,,False,,,,,unresolved until tier 1 has conclusions,15,"pending-selection (slot 8 of 8, by tier2_rule.md)"
33,0,family_ensemble,held,analysis/03_models/03_candidate,c_ensemble,-,main,,,0,True,,,,,not a perturbation; nothing to cost,-,"the main path's own choice, run under its own name; the same analysis as `main`"
