location,location_name,time_period,year,month
LA-XN,Xaisomboun,2006-12,2006,12
LA-XN,Xaisomboun,2007-01,2007,1
LA-XN,Xaisomboun,2007-02,2007,2
LA-XN,Xaisomboun,2007-03,2007,3
LA-XN,Xaisomboun,2007-04,2007,4
LA-XN,Xaisomboun,2007-05,2007,5
LA-XN,Xaisomboun,2007-06,2007,6
LA-XN,Xaisomboun,2007-07,2007,7
LA-XN,Xaisomboun,2007-08,2007,8
LA-XN,Xaisomboun,2007-09,2007,9
LA-XN,Xaisomboun,2007-10,2007,10
LA-XN,Xaisomboun,2007-11,2007,11
LA-XN,Xaisomboun,2007-12,2007,12
LA-XN,Xaisomboun,2008-01,2008,1
LA-XN,Xaisomboun,2008-02,2008,2
LA-XN,Xaisomboun,2008-03,2008,3
LA-XN,Xaisomboun,2008-04,2008,4
LA-XN,Xaisomboun,2008-05,2008,5
LA-XN,Xaisomboun,2008-06,2008,6
LA-XN,Xaisomboun,2008-07,2008,7
LA-XN,Xaisomboun,2008-08,2008,8
LA-XN,Xaisomboun,2008-09,2008,9
LA-XN,Xaisomboun,2008-10,2008,10
LA-XN,Xaisomboun,2008-11,2008,11
LA-XN,Xaisomboun,2008-12,2008,12
LA-XN,Xaisomboun,2009-01,2009,1
LA-XN,Xaisomboun,2009-02,2009,2
LA-XN,Xaisomboun,2009-03,2009,3
LA-XN,Xaisomboun,2009-04,2009,4
LA-XN,Xaisomboun,2009-05,2009,5
LA-XN,Xaisomboun,2009-06,2009,6
LA-XN,Xaisomboun,2009-07,2009,7
LA-XN,Xaisomboun,2009-08,2009,8
LA-XN,Xaisomboun,2009-09,2009,9
LA-XN,Xaisomboun,2009-10,2009,10
LA-XN,Xaisomboun,2009-11,2009,11
LA-XN,Xaisomboun,2009-12,2009,12
