location,time_period,horizon_distance,metric,split_first_period
LA-HO,200805,2,0.013219999999999982,200804
LA-HO,200806,3,0.011331000000000008,200804
LA-HO,200807,1,0.3649990000000001,200807
LA-HO,200808,2,0.42223200000000016,200807
LA-HO,200809,3,0.7290869999999998,200807
LA-HO,200810,1,0.069021,200810
LA-HO,200811,2,0.022427000000000002,200810
LA-HO,200812,3,0.8724829999999999,200810
LA-HO,200901,1,0.017393999999999993,200901
LA-HO,200902,2,0.026915999999999995,200901
LA-HO,200903,3,0.024068000000000006,200901
LA-HO,200904,1,0.005511000000000002,200904
LA-HO,200905,2,0.009545000000000012,200904
LA-HO,200906,3,0.04692400000000002,200904
LA-HO,200907,1,0.3701900000000009,200907
LA-HO,200908,2,0.7579229999999999,200907
LA-HO,200909,3,0.8590409999999995,200907
LA-HO,200910,1,0.583125,200910
LA-HO,200911,2,0.8380719999999999,200910
LA-HO,200912,3,0.854078,200910
LA-KH,200801,1,0.7482209999999998,200801
LA-KH,200802,2,0.10015600000000002,200801
LA-KH,200803,3,0.08887899999999999,200801
LA-KH,200804,1,0.4365889999999999,200804
LA-KH,200805,2,1.2560640000000003,200804
LA-KH,200806,3,2.7391690000000004,200804
LA-KH,200807,1,4.674687000000006,200807
LA-KH,200808,2,4.878799000000001,200807
LA-KH,200809,3,5.66241500000001,200807
LA-KH,200810,1,0.822702,200810
LA-KH,200811,2,1.2204629999999999,200810
LA-KH,200812,3,3.154592,200810
LA-KH,200901,1,0.06921299999999997,200901
LA-KH,200902,2,0.025063000000000002,200901
LA-KH,200903,3,4.847019,200901
LA-KH,200904,1,0.371119,200904
LA-KH,200905,2,2.0109800000000004,200904
LA-KH,200906,3,64.943897,200904
LA-KH,200907,1,112.36950999999999,200907
LA-KH,200908,2,247.63852400000002,200907
LA-KH,200909,3,215.309143,200907
LA-KH,200910,1,39.567526,200910
LA-KH,200911,2,21.387614,200910
LA-KH,200912,3,27.808922000000003,200910
LA-LM,200801,1,0.00014800000000000056,200801
LA-LM,200802,2,8.099999999999948e-05,200801
LA-LM,200803,3,8.999999999999894e-06,200801
LA-LM,200804,1,0.00012099999999999958,200804
LA-LM,200805,2,0.0014890000000000042,200804
LA-LM,200806,3,0.0019670000000000035,200804
LA-LM,200807,1,0.9139230000000005,200807
LA-LM,200808,2,0.47106600000000043,200807
LA-LM,200809,3,0.8574059999999992,200807
LA-LM,200810,1,0.01655100000000001,200810
LA-LM,200811,2,0.007910999999999974,200810
LA-LM,200812,3,0.0016390000000000016,200810
LA-LM,200901,1,0.00012200000000000058,200901
LA-LM,200902,2,6.399999999999982e-05,200901
LA-LM,200903,3,0.0003699999999999988,200901
LA-LM,200904,1,0.946734,200904
LA-LM,200905,2,0.003586000000000006,200904
LA-LM,200906,3,1.796428,200904
LA-LM,200907,1,1.1394200000000012,200907
LA-LM,200908,2,1.3298729999999992,200907
LA-LM,200909,3,2.4479070000000007,200907
LA-LM,200910,1,2.738096,200910
LA-LM,200911,2,4.787652,200910
LA-LM,200912,3,3.35086,200910
LA-LP,200801,1,0.8453130000000002,200801
LA-LP,200802,2,14.167125,200801
LA-LP,200803,3,20.352359,200801
LA-LP,200804,1,18.292834,200804
LA-LP,200805,2,72.172709,200804
LA-LP,200806,3,86.021713,200804
LA-LP,200807,1,10.091923000000001,200807
LA-LP,200808,2,8.180644000000001,200807
LA-LP,200809,3,9.061525000000003,200807
LA-LP,200810,1,17.83008,200810
LA-LP,200811,2,104.41343499999999,200810
LA-LP,200812,3,157.44016599999998,200810
LA-LP,200901,1,7.043463999999998,200901
LA-LP,200902,2,4.403489,200901
LA-LP,200903,3,12.388002999999998,200901
LA-LP,200904,1,10.64921,200904
LA-LP,200905,2,30.708720999999997,200904
LA-LP,200906,3,62.78906099999999,200904
LA-LP,200907,1,19.173635,200907
LA-LP,200908,2,19.977880000000006,200907
LA-LP,200909,3,276.113669,200907
LA-LP,200910,1,66.73590399999999,200910
LA-LP,200911,2,42.792129,200910
LA-LP,200912,3,6.7089919999999985,200910
LA-OU,200801,1,0.0007859999999999985,200801
LA-OU,200802,2,0.00012099999999999958,200801
LA-OU,200803,3,6.399999999999982e-05,200801
LA-OU,200804,1,0.0007880000000000005,200804
LA-OU,200805,2,0.005690000000000001,200804
LA-OU,200806,3,0.010088000000000014,200804
LA-OU,200807,1,1.7186200000000014,200807
LA-OU,200808,2,0.9745240000000006,200807
LA-OU,200809,3,1.4270150000000008,200807
LA-OU,200810,1,0.02054600000000001,200810
LA-OU,200811,2,0.006548999999999999,200810
LA-OU,200812,3,0.0012959999999999985,200810
LA-OU,200901,1,0.00014800000000000056,200901
LA-OU,200902,2,1.600000000000039e-05,200901
LA-OU,200903,3,0.00040100000000000205,200901
LA-OU,200904,1,0.0007300000000000015,200904
LA-OU,200905,2,0.003479999999999997,200904
LA-OU,200906,3,0.01983499999999999,200904
LA-OU,200907,1,2.1451209999999996,200907
LA-OU,200908,2,2.472335000000001,200907
LA-OU,200909,3,8.770349,200907
LA-OU,200910,1,2.176277,200910
LA-OU,200911,2,9.651191,200910
LA-OU,200912,3,15.970481999999999,200910
LA-PH,200901,1,0.012913000000000008,200901
LA-PH,200902,2,0.01657599999999998,200901
LA-PH,200903,3,0.018042000000000114,200901
LA-PH,200904,1,0.005317000000000016,200904
LA-PH,200905,2,0.006997000000000031,200904
LA-PH,200906,3,0.023778999999999995,200904
LA-PH,200907,1,0.25740799999999986,200907
LA-PH,200909,3,0.3286680000000004,200907
LA-PH,200910,1,0.023619,200910
LA-PH,200911,2,0.004005999999999996,200910
LA-PH,200912,3,0.0015069999999999945,200910
LA-SL,200801,1,0.8840469999999998,200801
LA-SL,200802,2,0.416296,200801
LA-SL,200803,3,3.7039779999999998,200801
LA-SL,200804,1,0.885011,200804
LA-SL,200805,2,89.793864,200804
LA-SL,200806,3,186.294365,200804
LA-SL,200807,1,48.86935199999999,200807
LA-SL,200808,2,40.28593099999999,200807
LA-SL,200809,3,57.431929999999994,200807
LA-SL,200810,1,33.807657,200810
LA-SL,200811,2,9.734168999999998,200810
LA-SL,200812,3,3.0020489999999995,200810
LA-SL,200901,1,1.6773189999999998,200901
LA-SL,200902,2,19.971521999999997,200901
LA-SL,200903,3,13.792313,200901
LA-SL,200904,1,5.734725000000001,200904
LA-SL,200905,2,44.42660600000001,200904
LA-SL,200906,3,30.777905999999987,200904
LA-SL,200907,1,111.91573600000001,200907
LA-SL,200908,2,87.02302099999997,200907
LA-SL,200909,3,60.36823100000001,200907
LA-SL,200910,1,33.50126699999999,200910
LA-SL,200911,2,14.499762999999998,200910
LA-SL,200912,3,8.615534,200910
LA-SV,200801,1,5.1871480000000005,200801
LA-SV,200802,2,1.1829250000000004,200801
LA-SV,200803,3,0.4727359999999998,200801
LA-SV,200804,1,3.3056799999999997,200804
LA-SV,200805,2,7.584946,200804
LA-SV,200806,3,25.077895000000005,200804
LA-SV,200807,1,32.82618200000002,200807
LA-SV,200808,2,26.200999000000024,200807
LA-SV,200809,3,27.390950999999973,200807
LA-SV,200810,1,3.6847220000000007,200810
LA-SV,200811,2,1.176602,200810
LA-SV,200812,3,0.38379799999999986,200810
LA-SV,200901,1,0.08364299999999997,200901
LA-SV,200902,2,0.01355400000000001,200901
LA-SV,200903,3,0.13209700000000002,200901
LA-SV,200904,1,0.20423200000000008,200904
LA-SV,200905,2,1.1958199999999999,200904
LA-SV,200906,3,1.7311240000000003,200904
LA-SV,200907,1,27.109239000000002,200907
LA-SV,200908,2,30.496049000000085,200907
LA-SV,200909,3,31.378184999999974,200907
LA-SV,200910,1,6.3106529999999985,200910
LA-SV,200911,2,17.051176,200910
LA-SV,200912,3,1.8302960000000006,200910
LA-VT,200801,1,10.91261,200801
LA-VT,200802,2,4.144448000000001,200801
LA-VT,200803,3,16.830009999999998,200801
LA-VT,200804,1,11.135737000000002,200804
LA-VT,200805,2,24.256897000000002,200804
LA-VT,200806,3,81.00250200000002,200804
LA-VT,200807,1,81.75608,200807
LA-VT,200808,2,89.88281899999993,200807
LA-VT,200809,3,93.80595199999993,200807
LA-VT,200810,1,34.671111999999994,200810
LA-VT,200811,2,45.939055999999994,200810
LA-VT,200812,3,48.305617,200810
LA-VT,200901,1,21.175064,200901
LA-VT,200902,2,14.352253000000001,200901
LA-VT,200903,3,6.422824,200901
LA-VT,200904,1,11.009146999999999,200904
LA-VT,200905,2,108.63053599999998,200904
LA-VT,200906,3,182.23899000000006,200904
LA-VT,200907,1,181.91883699999994,200907
LA-VT,200908,2,206.29176800000005,200907
LA-VT,200909,3,284.4351869999999,200907
LA-VT,200910,1,201.58076799999998,200910
LA-VT,200911,2,303.48393599999997,200910
LA-VT,200912,3,221.681087,200910
LA-XA,200801,1,1.1324899999999998,200801
LA-XA,200802,2,0.2887980000000001,200801
LA-XA,200803,3,0.14385399999999998,200801
LA-XA,200804,1,0.776786,200804
LA-XA,200805,2,1.2395099999999997,200804
LA-XA,200806,3,2.24298,200804
LA-XA,200807,1,11.052784000000003,200807
LA-XA,200808,2,4.44162,200807
LA-XA,200809,3,2.401634999999999,200807
LA-XA,200810,1,1.5150639999999997,200810
LA-XA,200811,2,1.1708409999999998,200810
LA-XA,200812,3,0.41677999999999993,200810
LA-XA,200901,1,0.12613200000000008,200901
LA-XA,200902,2,0.030743999999999994,200901
LA-XA,200903,3,0.209233,200901
LA-XA,200904,1,0.3201290000000001,200904
LA-XA,200905,2,1.1481720000000002,200904
LA-XA,200906,3,5.617477999999999,200904
LA-XA,200907,1,7.509875999999991,200907
LA-XA,200908,2,23.029297,200907
LA-XA,200909,3,7.652051,200907
LA-XA,200910,1,4.639100000000001,200910
LA-XA,200911,2,1.749911,200910
LA-XA,200912,3,1.4919980000000002,200910
LA-XE,200801,1,0.013076000000000004,200801
LA-XE,200802,2,0.005841000000000013,200801
LA-XE,200803,3,0.002708000000000002,200801
LA-XE,200804,1,0.009889999999999996,200804
LA-XE,200805,2,0.03687500000000002,200804
LA-XE,200806,3,4.129964,200804
LA-XE,200807,1,0.4566339999999993,200807
LA-XE,200808,2,0.5654079999999997,200807
LA-XE,200809,3,0.6911319999999996,200807
LA-XE,200810,1,0.055730999999999975,200810
LA-XE,200811,2,0.04324300000000003,200810
LA-XE,200812,3,0.812478,200810
LA-XE,200901,1,0.011117000000000016,200901
LA-XE,200902,2,1.860642,200901
LA-XE,200903,3,1.765209,200901
LA-XE,200904,1,0.5120530000000001,200904
LA-XE,200905,2,0.949868,200904
LA-XE,200906,3,6.133517,200904
LA-XE,200907,1,24.629213,200907
LA-XE,200908,2,21.988895,200907
LA-XE,200909,3,4.0518339999999995,200907
LA-XE,200910,1,2.6381859999999993,200910
LA-XE,200911,2,2.664016,200910
LA-XE,200912,3,6.561561999999999,200910
LA-XI,200801,1,0.0003280000000000019,200801
LA-XI,200802,2,0.00024099999999999816,200801
LA-XI,200803,3,0.0004459999999999985,200801
LA-XI,200804,1,0.0004609999999999996,200804
LA-XI,200805,2,0.0008699999999999958,200804
LA-XI,200806,3,0.9331809999999999,200804
LA-XI,200807,1,0.4565900000000003,200807
LA-XI,200808,2,0.3836979999999999,200807
LA-XI,200809,3,0.3925839999999994,200807
LA-XI,200810,1,0.008563999999999988,200810
LA-XI,200811,2,0.0034509999999999957,200810
LA-XI,200812,3,0.0017210000000000003,200810
LA-XI,200901,1,0.0021909999999999985,200901
LA-XI,200902,2,0.000900999999999999,200901
LA-XI,200903,3,0.0017369999999999955,200901
LA-XI,200904,1,0.0005770000000000011,200904
LA-XI,200905,2,38.946545,200904
LA-XI,200906,3,32.855826,200904
LA-XI,200907,1,0.7036570000000015,200907
LA-XI,200908,2,6.663325,200907
LA-XI,200909,3,0.6376790000000003,200907
LA-XI,200910,1,1.123139,200910
LA-XI,200911,2,0.31018500000000016,200910
LA-XI,200912,3,0.17190099999999997,200910
