location,time_period,horizon_distance,n_samples
LA-VT,200811,2,1000
LA-VT,200812,3,1000
LA-VT,200901,1,1000
LA-VT,200902,2,1000
LA-VT,200903,3,1000
LA-VT,200904,1,1000
LA-VT,200905,2,1000
LA-VT,200906,3,1000
LA-VT,200907,1,1000
LA-VT,200908,2,1000
LA-VT,200909,3,1000
LA-VT,200910,1,1000
LA-VT,200911,2,1000
LA-VT,200912,3,1000
LA-XA,200801,1,1000
LA-XA,200802,2,1000
LA-XA,200803,3,1000
LA-XA,200804,1,1000
LA-XA,200805,2,1000
LA-XA,200806,3,1000
LA-XA,200807,1,1000
LA-XA,200808,2,1000
LA-XA,200809,3,1000
LA-XA,200810,1,1000
LA-XA,200811,2,1000
LA-XA,200812,3,1000
LA-XA,200901,1,1000
LA-XA,200902,2,1000
LA-XA,200903,3,1000
LA-XA,200904,1,1000
LA-XA,200905,2,1000
LA-XA,200906,3,1000
LA-XA,200907,1,1000
LA-XA,200908,2,1000
LA-XA,200909,3,1000
LA-XA,200910,1,1000
LA-XA,200911,2,1000
LA-XA,200912,3,1000
LA-XE,200801,1,1000
LA-XE,200802,2,1000
LA-XE,200803,3,1000
LA-XE,200804,1,1000
LA-XE,200805,2,1000
LA-XE,200806,3,1000
LA-XE,200807,1,1000
LA-XE,200808,2,1000
LA-XE,200809,3,1000
LA-XE,200810,1,1000
LA-XE,200811,2,1000
LA-XE,200812,3,1000
LA-XE,200901,1,1000
LA-XE,200902,2,1000
LA-XE,200903,3,1000
LA-XE,200904,1,1000
LA-XE,200905,2,1000
LA-XE,200906,3,1000
LA-XE,200907,1,1000
LA-XE,200908,2,1000
LA-XE,200909,3,1000
LA-XE,200910,1,1000
LA-XE,200911,2,1000
LA-XE,200912,3,1000
LA-XI,200801,1,1000
LA-XI,200802,2,1000
LA-XI,200803,3,1000
LA-XI,200804,1,1000
LA-XI,200805,2,1000
LA-XI,200806,3,1000
LA-XI,200807,1,1000
LA-XI,200808,2,1000
LA-XI,200809,3,1000
LA-XI,200810,1,1000
LA-XI,200811,2,1000
LA-XI,200812,3,1000
LA-XI,200901,1,1000
LA-XI,200902,2,1000
LA-XI,200903,3,1000
LA-XI,200904,1,1000
LA-XI,200905,2,1000
LA-XI,200906,3,1000
LA-XI,200907,1,1000
LA-XI,200908,2,1000
LA-XI,200909,3,1000
LA-XI,200910,1,1000
LA-XI,200911,2,1000
LA-XI,200912,3,1000
LA-XN,200801,1,1000
LA-XN,200802,2,1000
LA-XN,200803,3,1000
LA-XN,200804,1,1000
LA-XN,200805,2,1000
LA-XN,200806,3,1000
LA-XN,200807,1,1000
LA-XN,200808,2,1000
LA-XN,200809,3,1000
LA-XN,200810,1,1000
LA-XN,200811,2,1000
LA-XN,200812,3,1000
LA-XN,200901,1,1000
LA-XN,200902,2,1000
LA-XN,200903,3,1000
LA-XN,200904,1,1000
LA-XN,200905,2,1000
LA-XN,200906,3,1000
LA-XN,200907,1,1000
LA-XN,200908,2,1000
LA-XN,200909,3,1000
LA-XN,200910,1,1000
LA-XN,200911,2,1000
LA-XN,200912,3,1000
